,idClimaPreproc,fecha,TemperaturaMedia,TemperaturaMinima,TemperaturaMaxima,PrecipitacionesAcumuladas,HorasSol,VientoRacha,VientoVelocidad,HumedadRelativaMedia,HumedadRelativaMax,HumedadRelativaMin,PresionMaxima,PresionMinima
0,1,2011-01-01,10.0447,6.717,13.383,31.1,1.9595,5.25,1.6064,83.6522,93.9375,69.5625,978.625,976.0068
1,2,2011-01-02,9.7745,6.0915,13.4702,5.7,3.2297,7.5196,2.2979,78.1087,92.9032,59.4516,978.3182,976.0091
2,3,2011-01-03,7.1404,3.3638,10.9213,46.9,4.0878,6.8261,1.8021,78.4894,90.4545,61.7879,979.7422,977.0667
3,4,2011-01-04,8.1106,4.3489,11.8681,192.3,2.631,6.5435,1.8217,83.2128,92.6667,69.5758,978.5,973.8467
4,5,2011-01-05,10.363,6.9239,13.787,165.4,1.678,9.2,2.9617,81.617,92.5938,70.375,973.3682,969.175
5,6,2011-01-06,13.1638,9.834,16.4915,290.6,2.295,11.3283,3.6891,79.4468,90.3939,63.3333,971.7044,969.5511
6,7,2011-01-07,12.5574,9.5915,15.5191,147.5,2.239,12.1435,3.6936,75.0851,89.0303,59.9394,975.0711,970.4978
7,8,2011-01-08,12.0128,8.1809,15.8489,192.4,3.2658,12.5867,3.7696,73.617,88.0606,54.9091,976.42,972.04
8,9,2011-01-09,9.8851,6.2681,13.5043,90.4,3.0026,8.7267,2.4174,78.7872,91.8788,60.1212,979.3489,974.2822
9,10,2011-01-10,8.5489,4.334,12.7681,59.8,4.5302,9.05,2.7979,76.7872,91.3636,58.9394,981.5578,978.0444
10,11,2011-01-11,11.6298,7.8532,15.4213,19.2,4.2929,11.9556,3.7872,77.5319,90.6061,60.5455,984.5222,979.0889
11,12,2011-01-12,11.583,7.4894,15.6574,1.8,4.9605,7.934,2.2957,77.8936,92.1176,61.9118,986.7378,983.6689
12,13,2011-01-13,10.5872,5.7511,15.4298,0.5,5.7744,5.7723,1.6319,79.6596,94.0,62.2647,985.8111,980.8111
13,14,2011-01-14,9.9833,4.7833,15.1792,1.5,5.6289,5.7435,1.6174,80.8511,95.0303,61.697,984.34,980.2511
14,15,2011-01-15,9.3,4.5208,14.0667,1.0,5.6243,6.25,1.7,80.5106,93.8235,61.2647,986.1022,983.3356
15,16,2011-01-16,8.9938,4.4229,13.5708,44.8,4.7128,6.25,1.7326,80.4255,92.9412,62.4412,986.1511,983.82
16,17,2011-01-17,9.3312,5.2021,13.4542,43.7,3.8667,6.0935,1.587,82.0,93.0294,66.3235,987.4333,984.74
17,18,2011-01-18,8.9562,5.7667,12.1583,37.7,1.8907,5.9085,1.6891,83.4681,92.9706,69.4412,986.1889,982.3933
18,19,2011-01-19,9.7042,6.3917,13.0167,10.1,2.5744,6.3,1.9957,79.8085,92.2424,64.5152,982.5578,979.5244
19,20,2011-01-20,8.4396,3.9896,12.8937,7.2,5.7524,8.1043,2.4468,73.7391,91.9697,48.0303,981.56,978.52
20,21,2011-01-21,5.525,1.2646,9.7833,0.0,7.6976,11.8872,3.9468,53.5745,77.4848,33.0303,982.4733,979.9111
21,22,2011-01-22,3.6833,-0.8563,8.2292,8.4,6.5921,11.2681,3.8936,52.1277,74.5758,34.3333,981.3244,976.7222
22,23,2011-01-23,3.8936,-0.366,8.1574,94.7,5.541,10.8109,3.5681,60.1702,78.0625,40.0938,980.2409,979.4767
23,24,2011-01-24,5.0083,0.3104,9.7062,74.7,6.3093,10.2109,3.7717,60.0851,79.5758,41.6061,978.4511,975.5311
24,25,2011-01-25,5.5191,0.7043,10.3277,8.6,5.7233,8.3935,2.8468,66.766,85.0968,47.9032,979.3341,974.8955
25,26,2011-01-26,5.3936,0.634,10.1426,73.1,4.2714,7.54,2.3756,71.3478,88.625,50.3438,972.9045,960.3432
26,27,2011-01-27,6.0196,2.5283,9.487,171.5,1.5286,8.6773,2.4822,77.9318,91.3548,60.2581,962.3814,957.4279
27,28,2011-01-28,7.2,4.1457,10.2543,276.0,2.0026,9.6911,2.6587,82.413,93.1613,68.7097,967.1841,962.5705
28,29,2011-01-29,7.1064,3.9191,10.2957,151.3,2.6342,8.7022,2.7022,79.0889,94.25,63.7813,970.0045,965.8159
29,30,2011-01-30,6.1917,2.8208,9.5688,57.7,2.85,8.7681,2.5149,77.5319,93.1212,59.9697,974.3422,969.7578
30,31,2011-01-31,5.7532,2.417,9.1064,21.9,3.7,9.0848,2.8391,70.087,89.7813,54.625,979.9295,973.25
31,32,2011-02-01,6.1848,1.7043,10.6609,3.3,6.1721,9.8444,3.1596,63.2553,83.7941,46.8824,985.7933,980.62
32,33,2011-02-02,7.0638,1.5298,12.5936,1.9,7.5548,9.5064,3.1553,60.3617,82.4571,42.0857,987.2422,984.5733
33,34,2011-02-03,7.8696,1.7326,14.0043,0.0,7.361,7.6478,2.3745,63.5532,85.4412,44.5294,989.6068,985.8932
34,35,2011-02-04,8.7468,1.8872,15.6043,0.0,8.5575,6.4872,1.8894,66.6087,89.8,42.6571,992.6578,989.7267
35,36,2011-02-05,9.2574,1.8809,16.6362,0.0,8.6289,5.7064,1.6404,64.617,89.3429,37.0571,992.0778,988.9133
36,37,2011-02-06,9.6043,1.8574,17.3468,0.1,8.8632,5.3149,1.317,62.8085,87.4857,33.6,989.4578,985.0756
37,38,2011-02-07,9.4851,2.1766,16.8064,0.0,8.7171,5.7391,1.4681,64.0652,89.1429,39.4571,985.5222,982.0289
38,39,2011-02-08,9.0783,2.4696,15.6783,6.0,7.2976,6.837,1.7511,67.3404,88.9412,42.3235,981.7091,977.4818
39,40,2011-02-09,9.3872,3.3702,15.4,10.6,6.7341,7.1511,1.9915,68.617,87.8,47.2286,980.575,977.1682
40,41,2011-02-10,9.9696,3.6935,16.2435,0.0,7.681,6.9457,1.9696,65.7609,89.0588,42.9118,981.225,977.8136
41,42,2011-02-11,9.7128,3.7234,15.7,14.0,7.2122,7.6574,2.0915,67.8723,89.8,45.0286,980.4644,976.7889
42,43,2011-02-12,9.0596,3.1702,14.9574,2.6,6.8079,7.8872,2.1574,70.4894,91.9714,50.2,980.1044,976.6022
43,44,2011-02-13,8.6574,3.4851,13.8383,241.9,3.2308,13.234,3.8894,72.234,91.9429,53.6,977.02,967.2467
44,45,2011-02-14,8.0766,4.6064,11.5489,197.5,4.45,13.6826,4.1191,67.766,91.5294,49.3824,973.5044,966.0889
45,46,2011-02-15,8.2872,5.4,11.1638,400.6,0.9659,12.3295,3.2717,81.4681,92.6364,61.9697,969.0256,961.8698
46,47,2011-02-16,8.2957,4.2128,12.3574,366.5,3.3341,16.2978,4.6149,73.6042,91.8857,56.2857,962.8222,954.0422
47,48,2011-02-17,8.4542,4.5792,12.3188,73.7,5.1195,15.387,5.4106,70.5,88.6389,54.4167,971.1333,955.2733
48,49,2011-02-18,9.5479,4.6375,14.4583,88.5,6.3225,10.3478,3.1085,69.383,88.1667,50.25,976.0667,970.5778
49,50,2011-02-19,10.5396,6.5375,14.55,155.3,3.1658,8.4261,2.4674,78.4167,90.7778,60.8056,975.2455,972.3841
50,51,2011-02-20,11.2208,6.7833,15.6583,80.5,5.8865,12.2844,3.2326,73.5417,93.1944,48.4167,979.4778,974.4022
