,fecha,valordemanda,Año,Mes,Dia,DiaSemana
0,2011-01-01,605986.22,2011,1,1,6
1,2011-01-02,641856.09,2011,1,2,7
2,2011-01-03,801297.37,2011,1,3,1
3,2011-01-04,833253.26,2011,1,4,2
4,2011-01-05,803475.57,2011,1,5,3
5,2011-01-06,659165.54,2011,1,6,4
6,2011-01-07,745349.06,2011,1,7,5
7,2011-01-08,714197.4,2011,1,8,6
8,2011-01-09,676565.53,2011,1,9,7
9,2011-01-10,825093.67,2011,1,10,1
10,2011-01-11,839408.06,2011,1,11,2
11,2011-01-12,831748.88,2011,1,12,3
12,2011-01-13,831676.73,2011,1,13,4
13,2011-01-14,828355.71,2011,1,14,5
14,2011-01-15,740276.29,2011,1,15,6
15,2011-01-16,690529.49,2011,1,16,7
16,2011-01-17,833383.1,2011,1,17,1
17,2011-01-18,854014.7,2011,1,18,2
18,2011-01-19,852744.07,2011,1,19,3
19,2011-01-20,848133.38,2011,1,20,4
20,2011-01-21,869535.48,2011,1,21,5
21,2011-01-22,811255.53,2011,1,22,6
22,2011-01-23,762605.02,2011,1,23,7
23,2011-01-24,909269.56,2011,1,24,1
24,2011-01-25,925838.1,2011,1,25,2
25,2011-01-26,922889.32,2011,1,26,3
26,2011-01-27,908662.72,2011,1,27,4
27,2011-01-28,893973.74,2011,1,28,5
28,2011-01-29,789680.82,2011,1,29,6
29,2011-01-30,731642.47,2011,1,30,7
30,2011-01-31,884108.53,2011,1,31,1
31,2011-02-01,896370.5,2011,2,1,2
32,2011-02-02,888988.99,2011,2,2,3
33,2011-02-03,880048.05,2011,2,3,4
34,2011-02-04,863200.22,2011,2,4,5
35,2011-02-05,764264.79,2011,2,5,6
36,2011-02-06,695026.27,2011,2,6,7
37,2011-02-07,833539.78,2011,2,7,1
38,2011-02-08,857808.77,2011,2,8,2
39,2011-02-09,854895.85,2011,2,9,3
40,2011-02-10,847728.9,2011,2,10,4
41,2011-02-11,840675.96,2011,2,11,5
42,2011-02-12,749056.06,2011,2,12,6
43,2011-02-13,693923.15,2011,2,13,7
44,2011-02-14,837839.79,2011,2,14,1
45,2011-02-15,867723.49,2011,2,15,2
46,2011-02-16,862550.52,2011,2,16,3
47,2011-02-17,867483.55,2011,2,17,4
48,2011-02-18,844064.85,2011,2,18,5
49,2011-02-19,753137.63,2011,2,19,6
50,2011-02-20,678337.36,2011,2,20,7
51,2011-02-21,813126.94,2011,2,21,1
52,2011-02-22,813497.64,2011,2,22,2
53,2011-02-23,792264.42,2011,2,23,3
54,2011-02-24,790552.85,2011,2,24,4
55,2011-02-25,780618.43,2011,2,25,5
56,2011-02-26,698188.61,2011,2,26,6
57,2011-02-27,643617.36,2011,2,27,7
58,2011-02-28,786009.35,2011,2,28,1
59,2011-03-01,838913.4,2011,3,1,2
60,2011-03-02,857398.48,2011,3,2,3
61,2011-03-03,872249.28,2011,3,3,4
62,2011-03-04,872085.29,2011,3,4,5
63,2011-03-05,751944.16,2011,3,5,6
64,2011-03-06,678996.84,2011,3,6,7
65,2011-03-07,798628.54,2011,3,7,1
66,2011-03-08,826503.96,2011,3,8,2
67,2011-03-09,837593.55,2011,3,9,3
68,2011-03-10,826068.36,2011,3,10,4
69,2011-03-11,830681.75,2011,3,11,5
70,2011-03-12,735543.31,2011,3,12,6
71,2011-03-13,660604.3,2011,3,13,7
72,2011-03-14,806162.85,2011,3,14,1
73,2011-03-15,820875.8,2011,3,15,2
74,2011-03-16,821400.58,2011,3,16,3
75,2011-03-17,796021.08,2011,3,17,4
76,2011-03-18,774556.09,2011,3,18,5
77,2011-03-19,672318.08,2011,3,19,6
78,2011-03-20,620385.24,2011,3,20,7
79,2011-03-21,761076.57,2011,3,21,1
80,2011-03-22,786184.48,2011,3,22,2
81,2011-03-23,800892.35,2011,3,23,3
82,2011-03-24,795389.84,2011,3,24,4
83,2011-03-25,778606.73,2011,3,25,5
84,2011-03-26,686670.26,2011,3,26,6
85,2011-03-27,605054.69,2011,3,27,7
