,energiademandaid,fecha,valordemanda,unidadmedida
0,1,2011-01-01,605986.22,MWh
1,2,2011-01-02,641856.09,MWh
2,3,2011-01-03,801297.37,MWh
3,4,2011-01-04,833253.26,MWh
4,5,2011-01-05,803475.57,MWh
5,6,2011-01-06,659165.54,MWh
6,7,2011-01-07,745349.06,MWh
7,8,2011-01-08,714197.4,MWh
8,9,2011-01-09,676565.53,MWh
9,10,2011-01-10,825093.67,MWh
10,11,2011-01-11,839408.06,MWh
11,12,2011-01-12,831748.88,MWh
12,13,2011-01-13,831676.73,MWh
13,14,2011-01-14,828355.71,MWh
14,15,2011-01-15,740276.29,MWh
15,16,2011-01-16,690529.49,MWh
16,17,2011-01-17,833383.1,MWh
17,18,2011-01-18,854014.7,MWh
18,19,2011-01-19,852744.07,MWh
19,20,2011-01-20,848133.38,MWh
20,21,2011-01-21,869535.48,MWh
21,22,2011-01-22,811255.53,MWh
22,23,2011-01-23,762605.02,MWh
23,24,2011-01-24,909269.56,MWh
24,25,2011-01-25,925838.1,MWh
25,26,2011-01-26,922889.32,MWh
26,27,2011-01-27,908662.72,MWh
27,28,2011-01-28,893973.74,MWh
28,29,2011-01-29,789680.82,MWh
29,30,2011-01-30,731642.47,MWh
30,31,2011-01-31,884108.53,MWh
31,32,2011-02-01,896370.5,MWh
32,33,2011-02-02,888988.99,MWh
33,34,2011-02-03,880048.05,MWh
34,35,2011-02-04,863200.22,MWh
35,36,2011-02-05,764264.79,MWh
36,37,2011-02-06,695026.27,MWh
37,38,2011-02-07,833539.78,MWh
38,39,2011-02-08,857808.77,MWh
39,40,2011-02-09,854895.85,MWh
40,41,2011-02-10,847728.9,MWh
41,42,2011-02-11,840675.96,MWh
42,43,2011-02-12,749056.06,MWh
43,44,2011-02-13,693923.15,MWh
44,45,2011-02-14,837839.79,MWh
45,46,2011-02-15,867723.49,MWh
46,47,2011-02-16,862550.52,MWh
47,48,2011-02-17,867483.55,MWh
48,49,2011-02-18,844064.85,MWh
49,50,2011-02-19,753137.63,MWh
50,51,2011-02-20,678337.36,MWh
51,52,2011-02-21,813126.94,MWh
52,53,2011-02-22,813497.64,MWh
53,54,2011-02-23,792264.42,MWh
54,55,2011-02-24,790552.85,MWh
55,56,2011-02-25,780618.43,MWh
56,57,2011-02-26,698188.61,MWh
57,58,2011-02-27,643617.36,MWh
58,59,2011-02-28,786009.35,MWh
59,60,2011-03-01,838913.4,MWh
60,61,2011-03-02,857398.48,MWh
61,62,2011-03-03,872249.28,MWh
62,63,2011-03-04,872085.29,MWh
63,64,2011-03-05,751944.16,MWh
64,65,2011-03-06,678996.84,MWh
65,66,2011-03-07,798628.54,MWh
66,67,2011-03-08,826503.96,MWh
67,68,2011-03-09,837593.55,MWh
68,69,2011-03-10,826068.36,MWh
69,70,2011-03-11,830681.75,MWh
70,71,2011-03-12,735543.31,MWh
71,72,2011-03-13,660604.3,MWh
72,73,2011-03-14,806162.85,MWh
73,74,2011-03-15,820875.8,MWh
74,75,2011-03-16,821400.58,MWh
75,76,2011-03-17,796021.08,MWh
76,77,2011-03-18,774556.09,MWh
77,78,2011-03-19,672318.08,MWh
78,79,2011-03-20,620385.24,MWh
79,80,2011-03-21,761076.57,MWh
80,81,2011-03-22,786184.48,MWh
81,82,2011-03-23,800892.35,MWh
82,83,2011-03-24,795389.84,MWh
83,84,2011-03-25,778606.73,MWh
84,85,2011-03-26,686670.26,MWh
85,86,2011-03-27,605054.69,MWh
86,87,2011-03-28,755234.32,MWh
87,88,2011-03-29,769209.51,MWh
88,89,2011-03-30,769475.57,MWh
89,90,2011-03-31,753622.17,MWh
90,91,2011-04-01,739283.98,MWh
91,92,2011-04-02,651742.88,MWh
92,93,2011-04-03,605901.26,MWh
93,94,2011-04-04,724924.43,MWh
94,95,2011-04-05,736422.05,MWh
95,96,2011-04-06,739279.77,MWh
96,97,2011-04-07,732198.39,MWh
97,98,2011-04-08,735235.1,MWh
98,99,2011-04-09,648442.8,MWh
99,100,2011-04-10,592949.06,MWh
100,101,2011-04-11,717889.06,MWh
101,102,2011-04-12,734044.37,MWh
102,103,2011-04-13,730789.49,MWh
103,104,2011-04-14,733161.83,MWh
104,105,2011-04-15,732740.61,MWh
105,106,2011-04-16,654129.79,MWh
106,107,2011-04-17,588087.3,MWh
107,108,2011-04-18,699179.74,MWh
108,109,2011-04-19,714249.57,MWh
109,110,2011-04-20,699445.68,MWh
110,111,2011-04-21,603833.3,MWh
111,112,2011-04-22,557697.1,MWh
112,113,2011-04-23,581223.34,MWh
113,114,2011-04-24,552420.85,MWh
114,115,2011-04-25,621969.82,MWh
115,116,2011-04-26,699876.26,MWh
116,117,2011-04-27,712548.89,MWh
117,118,2011-04-28,714337.59,MWh
118,119,2011-04-29,718151.43,MWh
119,120,2011-04-30,636041.64,MWh
120,121,2011-05-01,553106.09,MWh
121,122,2011-05-02,638821.66,MWh
122,123,2011-05-03,713170.7,MWh
123,124,2011-05-04,723353.98,MWh
124,125,2011-05-05,726615.3,MWh
125,126,2011-05-06,721232.78,MWh
126,127,2011-05-07,643463.79,MWh
127,128,2011-05-08,577050.68,MWh
128,129,2011-05-09,706545.97,MWh
129,130,2011-05-10,728325.28,MWh
130,131,2011-05-11,732314.73,MWh
131,132,2011-05-12,732970.11,MWh
132,133,2011-05-13,729702.82,MWh
133,134,2011-05-14,657056.7,MWh
134,135,2011-05-15,582278.37,MWh
135,136,2011-05-16,703877.91,MWh
136,137,2011-05-17,720286.74,MWh
137,138,2011-05-18,733284.81,MWh
138,139,2011-05-19,730295.8,MWh
139,140,2011-05-20,718021.06,MWh
140,141,2011-05-21,642166.59,MWh
141,142,2011-05-22,580824.46,MWh
142,143,2011-05-23,721325.51,MWh
143,144,2011-05-24,751955.01,MWh
144,145,2011-05-25,763354.59,MWh
145,146,2011-05-26,768988.41,MWh
146,147,2011-05-27,753573.98,MWh
147,148,2011-05-28,660433.75,MWh
148,149,2011-05-29,599687.36,MWh
149,150,2011-05-30,719798.78,MWh
150,151,2011-05-31,740148.28,MWh
151,152,2011-06-01,736507.71,MWh
152,153,2011-06-02,731586.42,MWh
153,154,2011-06-03,728179.39,MWh
154,155,2011-06-04,650939.75,MWh
155,156,2011-06-05,593263.94,MWh
156,157,2011-06-06,717827.57,MWh
157,158,2011-06-07,729124.24,MWh
158,159,2011-06-08,726958.6,MWh
159,160,2011-06-09,726197.14,MWh
160,161,2011-06-10,729081.8,MWh
161,162,2011-06-11,651720.48,MWh
162,163,2011-06-12,597597.06,MWh
163,164,2011-06-13,709296.45,MWh
164,165,2011-06-14,765953.76,MWh
165,166,2011-06-15,781388.47,MWh
166,167,2011-06-16,781068.19,MWh
167,168,2011-06-17,775007.18,MWh
168,169,2011-06-18,689770.13,MWh
169,170,2011-06-19,619463.75,MWh
170,171,2011-06-20,771419.1,MWh
171,172,2011-06-21,807857.31,MWh
172,173,2011-06-22,807255.01,MWh
173,174,2011-06-23,758158.69,MWh
