,fecha,Carbon_NR,CicloCombinado_NR,Cogeneracion_NR,Eolica_R,Hidroeolica_R,Hidraulica_R,MotorDiesel_NR,Nuclear_NR,OtrasRenovables_R,SolarFotovoltaica_R,SolarTermica_R,TurbinaGas_NR,TurbinaVapor_NR,TurbinaBombeo_NR,ResiduosNoRenov_NR,ResiduosRenov_R,Año,Mes,Dia,DiaSemana,SumaGeneracion_NoRenovables,SumaGeneracion_Renovables,SumaGeneracionTotal,Porcentaje_NoRenovable,Porcentaje_Renovable
0,2011-01-01,63539.18,142852.66,60034.04,30530.96,0.0,132922.64,9421.65,156043.26,9422.6,6383.97,689.68,635.93,6335.74,3096.79,3476.62,2075.13,2011,1,1,6,445435.87,182024.98,627460.85,70.99,29.01
1,2011-01-02,63250.91,105985.98,67987.65,120932.78,0.0,122475.16,9583.46,155946.4,9735.17,9681.93,906.36,760.92,7312.27,5812.88,3541.86,1974.49,2011,1,2,7,420182.33,265705.89,685888.22,61.26,38.74
2,2011-01-03,99351.27,220507.01,89705.2,77934.62,0.0,146861.64,10031.22,155911.78,9724.74,12336.11,635.97,1936.27,8551.25,3855.05,3601.89,1996.5,2011,1,3,1,593450.9400000001,249489.58,842940.52,70.4,29.6
3,2011-01-04,115105.69,203996.35,93111.25,104022.72,0.0,145876.05,10024.31,156264.17,9832.04,8502.07,965.02,2079.06,8355.28,8182.84,3409.97,1783.81,2011,1,4,2,600528.92,270981.71,871510.6300000001,68.91,31.09
4,2011-01-05,71928.72,111598.22,90420.81,200221.69,0.0,158946.13,10067.26,156313.26,10526.45,7503.86,888.61,1454.87,8234.3,5497.87,3482.28,1746.28,2011,1,5,3,458997.59,379833.02,838830.6100000001,54.72,45.28
5,2011-01-06,35683.29,46310.01,82709.58,245505.12,0.0,113777.36,9333.28,156229.07,10088.73,7973.16,975.86,699.83,6348.35,14407.89,3529.22,1903.01,2011,1,6,4,355250.51999999996,380223.23999999993,735473.7599999999,48.3,51.7
6,2011-01-07,17857.01,70449.88,89562.0,246623.03,0.0,152748.93,9780.65,156177.38,10213.05,6040.79,461.93,1524.59,8351.87,16689.76,3802.43,2115.49,2011,1,7,5,374195.57000000007,418203.2199999999,792398.79,47.22,52.78
7,2011-01-08,17472.96,61482.13,72959.72,223431.28,0.0,168621.59,9620.91,156046.39,9987.63,10013.57,770.88,1052.18,7380.82,19668.94,3869.8,2137.05,2011,1,8,6,349553.85,414962.0,764515.85,45.72,54.28
8,2011-01-09,34226.91,90546.93,73945.38,80447.51,0.0,204595.95,9224.09,155990.37,10269.67,8183.87,796.96,685.4,6550.78,14477.17,3782.02,2080.52,2011,1,9,7,389429.05000000005,306374.48000000004,695803.53,55.97,44.03
9,2011-01-10,65683.64,160652.8,90820.87,150019.51,0.0,197918.31,9852.48,156129.26,10316.31,12363.13,1442.41,1414.19,8060.86,13423.81,3492.79,1882.89,2011,1,10,1,509530.69999999995,373942.56,883473.26,57.67,42.33
