,fecha,preciomedio,preciominimo,preciomaximo,Año,Mes,Dia,DiaSemana
0,2011-01-01,46.19,38.48,55.4,2011,1,1,6
1,2011-01-02,43.76,24.0,65.74,2011,1,2,7
2,2011-01-03,45.44,19.13,65.03,2011,1,3,1
3,2011-01-04,45.59,31.21,55.02,2011,1,4,2
4,2011-01-05,35.35,17.07,49.16,2011,1,5,3
5,2011-01-06,21.02,0.0,48.55,2011,1,6,4
6,2011-01-07,16.16,0.0,38.35,2011,1,7,5
7,2011-01-08,21.31,0.0,85.5,2011,1,8,6
8,2011-01-09,41.32,12.25,91.01,2011,1,9,7
9,2011-01-10,41.18,15.69,55.04,2011,1,10,1
10,2011-01-11,32.65,0.13,89.0,2011,1,11,2
11,2011-01-12,36.19,2.0,89.0,2011,1,12,3
12,2011-01-13,42.47,17.07,65.0,2011,1,13,4
13,2011-01-14,43.5,17.07,58.52,2011,1,14,5
14,2011-01-15,47.57,37.39,79.07,2011,1,15,6
15,2011-01-16,43.83,30.8,85.0,2011,1,16,7
16,2011-01-17,45.6,15.0,75.0,2011,1,17,1
17,2011-01-18,46.82,36.0,54.78,2011,1,18,2
18,2011-01-19,46.54,29.69,60.0,2011,1,19,3
19,2011-01-20,43.15,29.59,50.25,2011,1,20,4
20,2011-01-21,36.7,5.0,54.71,2011,1,21,5
21,2011-01-22,33.18,10.0,51.0,2011,1,22,6
22,2011-01-23,42.99,27.08,57.78,2011,1,23,7
23,2011-01-24,37.53,3.0,55.0,2011,1,24,1
24,2011-01-25,42.37,19.13,55.01,2011,1,25,2
25,2011-01-26,49.0,32.96,80.02,2011,1,26,3
26,2011-01-27,49.07,38.87,56.18,2011,1,27,4
27,2011-01-28,48.84,36.6,58.28,2011,1,28,5
28,2011-01-29,50.3,45.84,58.38,2011,1,29,6
29,2011-01-30,50.03,45.85,56.68,2011,1,30,7
30,2011-01-31,51.21,39.12,64.9,2011,1,31,1
31,2011-02-01,48.67,37.94,55.05,2011,2,1,2
32,2011-02-02,49.14,36.4,57.04,2011,2,2,3
33,2011-02-03,50.32,38.93,57.38,2011,2,3,4
34,2011-02-04,50.68,40.0,56.38,2011,2,4,5
35,2011-02-05,50.88,45.98,59.65,2011,2,5,6
36,2011-02-06,50.25,44.21,59.06,2011,2,6,7
37,2011-02-07,51.91,40.78,61.56,2011,2,7,1
38,2011-02-08,51.46,44.56,57.34,2011,2,8,2
39,2011-02-09,51.24,41.34,60.46,2011,2,9,3
40,2011-02-10,50.62,45.23,56.0,2011,2,10,4
41,2011-02-11,51.13,41.0,64.5,2011,2,11,5
42,2011-02-12,52.94,48.63,58.93,2011,2,12,6
43,2011-02-13,47.02,41.0,57.5,2011,2,13,7
44,2011-02-14,45.38,22.07,54.65,2011,2,14,1
45,2011-02-15,47.38,29.89,54.9,2011,2,15,2
46,2011-02-16,43.6,27.54,54.23,2011,2,16,3
47,2011-02-17,43.76,29.89,58.01,2011,2,17,4
48,2011-02-18,47.59,35.0,54.6,2011,2,18,5
49,2011-02-19,50.51,42.37,59.65,2011,2,19,6
50,2011-02-20,43.72,28.07,57.23,2011,2,20,7
51,2011-02-21,44.47,20.13,57.23,2011,2,21,1
52,2011-02-22,43.55,20.0,58.42,2011,2,22,2
53,2011-02-23,48.79,38.29,59.6,2011,2,23,3
54,2011-02-24,49.07,42.12,55.0,2011,2,24,4
55,2011-02-25,49.43,42.52,53.0,2011,2,25,5
56,2011-02-26,47.0,41.1,53.03,2011,2,26,6
57,2011-02-27,39.05,28.07,54.11,2011,2,27,7
58,2011-02-28,45.37,32.15,55.23,2011,2,28,1
59,2011-03-01,46.85,37.71,53.5,2011,3,1,2
60,2011-03-02,45.52,32.15,53.5,2011,3,2,3
61,2011-03-03,49.36,41.0,58.17,2011,3,3,4
62,2011-03-04,49.23,41.0,55.4,2011,3,4,5
63,2011-03-05,49.01,42.55,58.17,2011,3,5,6
64,2011-03-06,49.35,43.04,60.9,2011,3,6,7
65,2011-03-07,49.72,40.03,57.0,2011,3,7,1
66,2011-03-08,47.04,35.97,60.02,2011,3,8,2
67,2011-03-09,46.5,29.89,56.5,2011,3,9,3
68,2011-03-10,50.28,43.04,56.0,2011,3,10,4
69,2011-03-11,49.39,41.81,53.03,2011,3,11,5
70,2011-03-12,49.07,43.38,53.03,2011,3,12,6
71,2011-03-13,46.91,42.41,53.5,2011,3,13,7
72,2011-03-14,49.2,40.96,53.03,2011,3,14,1
73,2011-03-15,49.24,44.69,52.8,2011,3,15,2
74,2011-03-16,41.54,17.07,50.69,2011,3,16,3
75,2011-03-17,41.84,13.0,53.13,2011,3,17,4
76,2011-03-18,49.51,38.57,53.03,2011,3,18,5
77,2011-03-19,49.35,43.21,54.99,2011,3,19,6
78,2011-03-20,46.19,36.57,56.2,2011,3,20,7
79,2011-03-21,50.72,38.69,55.23,2011,3,21,1
80,2011-03-22,47.99,39.0,55.23,2011,3,22,2
81,2011-03-23,45.19,36.66,53.03,2011,3,23,3
82,2011-03-24,42.34,20.0,56.0,2011,3,24,4
83,2011-03-25,48.14,30.03,58.17,2011,3,25,5
84,2011-03-26,47.85,39.18,53.05,2011,3,26,6
85,2011-03-27,25.46,4.9,51.01,2011,3,27,7
86,2011-03-28,44.98,22.07,55.62,2011,3,28,1
87,2011-03-29,45.63,35.9,53.03,2011,3,29,2
88,2011-03-30,44.51,28.19,55.0,2011,3,30,3
89,2011-03-31,48.79,38.69,55.23,2011,3,31,4
90,2011-04-01,44.0,34.01,52.07,2011,4,1,5
91,2011-04-02,47.86,38.75,55.25,2011,4,2,6
92,2011-04-03,42.45,22.07,52.97,2011,4,3,7
93,2011-04-04,47.2,30.0,53.11,2011,4,4,1
94,2011-04-05,47.95,36.69,53.13,2011,4,5,2
95,2011-04-06,43.92,21.0,53.5,2011,4,6,3
96,2011-04-07,47.12,37.51,52.91,2011,4,7,4
97,2011-04-08,45.98,33.88,51.41,2011,4,8,5
98,2011-04-09,45.76,34.07,50.09,2011,4,9,6
99,2011-04-10,36.94,20.5,49.67,2011,4,10,7
100,2011-04-11,44.5,17.07,53.03,2011,4,11,1
101,2011-04-12,37.2,2.0,50.79,2011,4,12,2
102,2011-04-13,49.02,38.0,53.03,2011,4,13,3
103,2011-04-14,49.09,44.6,53.03,2011,4,14,4
104,2011-04-15,44.43,36.72,50.03,2011,4,15,5
105,2011-04-16,43.06,28.07,53.0,2011,4,16,6
106,2011-04-17,42.66,36.0,53.7,2011,4,17,7
107,2011-04-18,46.93,32.0,53.03,2011,4,18,1
108,2011-04-19,48.55,42.74,53.03,2011,4,19,2
109,2011-04-20,48.67,44.51,52.13,2011,4,20,3
110,2011-04-21,45.1,31.0,52.01,2011,4,21,4
111,2011-04-22,39.8,28.07,50.66,2011,4,22,5
112,2011-04-23,48.82,43.16,51.95,2011,4,23,6
113,2011-04-24,41.57,28.24,50.15,2011,4,24,7
114,2011-04-25,42.06,17.07,51.0,2011,4,25,1
115,2011-04-26,47.56,29.56,52.2,2011,4,26,2
116,2011-04-27,47.95,35.0,52.25,2011,4,27,3
117,2011-04-28,49.63,37.56,53.03,2011,4,28,4
118,2011-04-29,49.78,39.9,53.5,2011,4,29,5
119,2011-04-30,47.93,44.8,52.0,2011,4,30,6
120,2011-05-01,46.26,38.57,53.03,2011,5,1,7
121,2011-05-02,49.51,36.57,54.03,2011,5,2,1
122,2011-05-03,49.92,39.52,54.01,2011,5,3,2
123,2011-05-04,50.87,41.8,54.69,2011,5,4,3
124,2011-05-05,52.94,49.91,55.43,2011,5,5,4
125,2011-05-06,49.78,45.27,53.03,2011,5,6,5
126,2011-05-07,43.8,32.0,53.03,2011,5,7,6
127,2011-05-08,44.6,35.03,58.17,2011,5,8,7
128,2011-05-09,52.22,47.5,53.2,2011,5,9,1
129,2011-05-10,48.67,38.42,53.03,2011,5,10,2
130,2011-05-11,49.35,37.61,53.03,2011,5,11,3
131,2011-05-12,48.09,31.46,53.03,2011,5,12,4
132,2011-05-13,49.3,36.57,53.03,2011,5,13,5
133,2011-05-14,47.76,36.57,53.12,2011,5,14,6
134,2011-05-15,29.78,0.5,53.12,2011,5,15,7
135,2011-05-16,47.45,20.0,55.23,2011,5,16,1
136,2011-05-17,51.76,47.4,53.12,2011,5,17,2
137,2011-05-18,50.69,44.03,53.18,2011,5,18,3
138,2011-05-19,49.75,37.52,53.03,2011,5,19,4
139,2011-05-20,51.24,44.42,53.18,2011,5,20,5
140,2011-05-21,51.42,48.79,53.07,2011,5,21,6
141,2011-05-22,48.99,38.71,53.13,2011,5,22,7
142,2011-05-23,52.15,47.26,53.5,2011,5,23,1
143,2011-05-24,49.5,40.0,53.04,2011,5,24,2
144,2011-05-25,51.74,46.19,53.1,2011,5,25,3
145,2011-05-26,51.88,48.78,53.4,2011,5,26,4
146,2011-05-27,48.6,36.57,53.03,2011,5,27,5
147,2011-05-28,50.35,44.0,53.03,2011,5,28,6
148,2011-05-29,50.17,45.52,55.23,2011,5,29,7
149,2011-05-30,50.9,44.5,53.13,2011,5,30,1
150,2011-05-31,46.45,32.51,53.06,2011,5,31,2
151,2011-06-01,43.37,20.0,52.02,2011,6,1,3
152,2011-06-02,41.38,11.27,51.6,2011,6,2,4
153,2011-06-03,46.98,28.5,53.03,2011,6,3,5
154,2011-06-04,50.27,44.85,53.03,2011,6,4,6
155,2011-06-05,46.95,36.57,53.03,2011,6,5,7
156,2011-06-06,48.19,34.07,53.08,2011,6,6,1
157,2011-06-07,46.09,30.23,53.05,2011,6,7,2
158,2011-06-08,49.13,36.57,53.07,2011,6,8,3
159,2011-06-09,51.25,43.57,53.6,2011,6,9,4
160,2011-06-10,49.45,40.4,53.03,2011,6,10,5
161,2011-06-11,50.55,44.52,53.03,2011,6,11,6
162,2011-06-12,50.42,44.52,53.22,2011,6,12,7
163,2011-06-13,49.84,36.57,53.05,2011,6,13,1
164,2011-06-14,52.29,46.66,53.32,2011,6,14,2
165,2011-06-15,52.77,50.08,53.41,2011,6,15,3
166,2011-06-16,51.73,46.66,53.29,2011,6,16,4
167,2011-06-17,51.75,47.62,53.2,2011,6,17,5
168,2011-06-18,49.45,39.06,53.14,2011,6,18,6
169,2011-06-19,51.7,43.57,55.11,2011,6,19,7
170,2011-06-20,51.87,45.38,53.6,2011,6,20,1
171,2011-06-21,53.14,52.92,53.5,2011,6,21,2
172,2011-06-22,52.52,46.0,55.74,2011,6,22,3
173,2011-06-23,51.0,45.0,55.21,2011,6,23,4
174,2011-06-24,47.2,22.07,55.21,2011,6,24,5
175,2011-06-25,52.74,45.45,56.39,2011,6,25,6
176,2011-06-26,51.92,39.11,57.84,2011,6,26,7
177,2011-06-27,53.15,44.2,55.74,2011,6,27,1
178,2011-06-28,55.01,51.42,59.5,2011,6,28,2
179,2011-06-29,49.38,30.0,55.96,2011,6,29,3
180,2011-06-30,48.45,15.0,57.0,2011,6,30,4
181,2011-07-01,54.41,41.36,60.22,2011,7,1,5
182,2011-07-02,55.37,53.03,59.28,2011,7,2,6
183,2011-07-03,52.09,42.46,55.55,2011,7,3,7
184,2011-07-04,54.44,40.42,60.62,2011,7,4,1
185,2011-07-05,54.33,43.89,61.68,2011,7,5,2
186,2011-07-06,52.55,41.93,60.18,2011,7,6,3
