,idenergiaprecio,fecha,hora1,hora2,hora3,hora4,hora5,hora6,hora7,hora8,hora9,hora10,hora11,hora12,hora13,hora14,hora15,hora16,hora17,hora18,hora19,hora20,hora21,hora22,hora23,hora24,preciomedio
0,14831,2011-01-01,55.4,53.68,47.12,43.77,40.72,40.72,40.72,41.14,38.48,40.23,45.06,46.02,47.8,46.52,45.8,43.04,42.25,46.02,49.65,49.65,50.01,53.01,52.06,49.65,46.19
1,14830,2011-01-02,53.68,48.65,43.13,37.45,32.0,24.0,31.0,35.0,34.07,37.48,42.79,43.13,45.5,43.16,42.79,41.65,42.15,43.13,49.65,51.26,53.72,65.74,56.14,53.04,43.76
2,14829,2011-01-03,39.02,37.48,20.13,19.13,19.13,20.13,37.54,43.38,45.57,47.76,48.02,48.26,52.1,52.1,52.32,50.92,51.76,57.53,65.03,65.0,55.06,60.0,54.23,49.02,45.44
3,14828,2011-01-04,45.66,42.5,37.54,37.45,31.21,31.21,37.45,43.85,45.88,50.13,48.5,48.3,50.51,46.04,45.02,44.3,44.6,50.5,53.0,55.02,54.76,54.65,50.51,45.5,45.59
4,14827,2011-01-05,45.8,42.79,20.02,20.02,17.07,18.07,20.02,34.75,34.78,40.37,42.0,40.01,45.0,40.0,32.56,20.01,22.07,40.0,45.51,48.0,46.4,49.16,45.88,38.14,35.35
5,14826,2011-01-06,48.55,40.01,26.0,5.0,1.2,1.0,3.0,3.0,0.0,10.0,14.47,20.01,20.01,20.0,14.47,12.21,12.21,20.0,24.48,37.13,40.02,45.52,46.1,40.0,21.02
6,14825,2011-01-07,25.0,4.0,0.0,0.0,0.0,0.0,0.0,4.01,5.01,25.01,25.0,25.0,25.32,16.0,16.0,5.01,5.01,16.0,33.0,37.51,36.56,38.35,30.03,16.0,16.16
7,14824,2011-01-08,30.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,5.01,10.0,11.67,14.78,10.01,13.35,27.25,53.8,85.5,67.5,67.5,51.4,49.6,21.31
8,14823,2011-01-09,52.0,47.5,25.08,15.0,12.25,13.35,15.0,22.1,22.1,38.31,45.59,45.57,45.59,44.11,43.44,37.54,35.12,43.44,48.1,50.26,55.6,91.01,86.0,57.5,41.32
9,14822,2011-01-10,43.26,36.66,15.69,17.07,15.69,17.07,35.25,50.9,48.5,47.3,47.3,46.4,55.03,46.11,41.66,40.83,41.0,46.1,50.0,55.04,51.5,54.1,46.11,39.66,41.18
10,14821,2011-01-11,26.88,11.67,1.3,0.13,0.13,0.5,2.0,18.85,13.56,40.0,40.01,41.57,43.0,36.57,35.0,33.78,37.54,43.57,52.55,66.4,58.0,89.0,50.13,41.57,32.65
11,14820,2011-01-12,30.0,15.69,4.9,3.0,2.0,4.0,5.65,32.28,22.0,38.67,38.89,40.01,46.27,43.85,43.85,43.13,43.57,49.11,53.06,57.87,57.87,89.0,57.87,45.95,36.19
12,14819,2011-01-13,41.22,35.25,25.13,17.07,17.07,20.05,35.0,44.53,43.13,46.67,45.57,44.51,50.75,44.51,41.5,41.53,41.02,50.18,54.75,58.34,58.52,65.0,55.4,42.48,42.47
13,14818,2011-01-14,42.87,37.28,19.13,17.07,17.07,18.95,36.7,48.62,48.98,50.0,46.03,46.02,50.0,46.03,46.02,45.0,45.0,49.49,57.87,58.52,57.87,57.87,51.68,50.0,43.5
14,14817,2011-01-15,49.4,45.29,43.15,41.85,38.28,37.39,37.39,40.6,40.6,42.4,45.29,45.39,45.57,45.39,46.0,45.11,45.0,46.18,54.57,75.0,79.07,57.0,48.9,46.9,47.57
15,14816,2011-01-16,51.78,45.29,44.0,36.7,30.8,32.65,36.7,38.79,36.86,36.28,37.58,40.6,42.1,38.94,42.0,39.05,38.94,39.45,44.0,47.1,52.38,85.0,65.03,50.0,43.83
16,14815,2011-01-17,40.04,32.85,17.07,15.0,15.0,26.69,35.21,48.1,50.0,51.02,50.0,50.18,53.02,52.71,51.0,50.0,50.62,53.01,56.57,58.89,60.2,75.0,53.02,49.26,45.6
17,14814,2011-01-18,45.0,40.03,37.0,36.75,36.0,36.75,38.88,48.57,50.0,54.13,52.71,51.51,54.78,50.0,50.0,49.26,48.9,49.02,50.0,52.38,51.78,52.71,47.0,40.57,46.82
18,14813,2011-01-19,44.4,39.01,34.07,30.1,29.69,33.0,36.54,47.29,47.1,50.26,50.0,50.0,54.71,50.13,50.0,48.0,49.12,50.0,55.0,60.0,57.78,55.38,50.0,45.4,46.54
19,14812,2011-01-20,44.01,40.55,36.72,35.86,35.86,35.86,38.79,46.76,48.26,50.25,48.26,49.03,48.54,46.54,42.88,42.0,43.4,42.88,46.25,48.0,47.11,47.1,41.06,29.59,43.15
20,14811,2011-01-21,41.64,29.59,8.02,5.4,5.0,5.95,10.0,38.94,48.44,48.32,48.26,48.32,48.26,45.02,43.57,36.65,28.07,36.65,47.11,54.71,50.32,51.9,50.38,50.32,36.7
21,14810,2011-01-22,49.18,41.64,37.77,30.0,29.69,22.07,22.07,29.69,10.0,17.07,30.0,36.0,29.69,29.69,32.59,22.07,20.0,22.07,43.03,51.0,50.38,49.57,44.0,47.04,33.18
22,14809,2011-01-23,50.0,45.9,40.04,32.59,29.69,29.69,27.08,33.0,36.0,40.04,47.01,47.01,49.64,44.01,41.45,40.3,40.04,42.0,47.01,50.38,56.23,57.78,54.71,50.25,42.99
23,14808,2011-01-24,39.49,20.0,3.0,3.0,3.0,3.0,19.13,43.5,49.0,47.01,45.0,45.0,48.38,46.88,43.65,43.04,42.51,47.01,50.11,55.0,54.01,54.71,50.11,45.13,37.53
24,14807,2011-01-25,32.78,30.0,23.02,20.0,19.13,20.0,27.08,43.55,49.64,50.25,49.83,48.9,50.25,48.9,48.26,45.1,45.57,50.0,51.62,55.01,55.0,55.0,50.48,47.55,42.37
25,14806,2011-01-26,43.55,38.97,32.96,33.83,33.0,36.6,39.06,43.91,49.64,49.98,49.64,50.0,52.0,51.1,51.1,50.03,50.25,51.78,53.01,58.89,58.23,80.02,65.69,52.78,49.0
26,14805,2011-01-27,48.5,42.57,39.04,39.0,38.87,39.12,40.89,50.0,53.32,54.98,53.32,53.36,55.69,52.5,50.25,48.78,48.47,50.0,51.46,56.18,54.71,54.71,51.63,50.25,49.07
27,14804,2011-01-28,47.03,40.19,38.4,36.78,36.6,38.53,39.19,48.5,50.25,52.11,52.08,52.05,52.11,50.62,50.28,49.64,50.25,52.05,53.0,58.28,56.02,56.01,56.01,56.22,48.84
