fecha,Año,Mes,Dia,DiaSemana,Eolica_R,Hidroeolica_R,Hidraulica_R,OtrasRenovables_R,SolarFotovoltaica_R,SolarTermica_R,ResiduosRenov_R,SumaGeneracionTotal,Porcentaje_Renovable,valordemanda,preciomedio,TemperaturaMedia,PrecipitacionesAcumuladas,HorasSol,VientoVelocidad,HumedadRelativaMedia
2011-01-01,2011,1,1,6,30530.96,0.0,132922.64,9422.6,6383.97,689.68,2075.13,627460.85,29.01,605986.22,46.19,10.0447,31.1,1.9595,1.6064,83.6522
2011-01-02,2011,1,2,7,120932.78,0.0,122475.16,9735.17,9681.93,906.36,1974.49,685888.22,38.74,641856.09,43.76,9.7745,5.7,3.2297,2.2979,78.1087
2011-01-03,2011,1,3,1,77934.62,0.0,146861.64,9724.74,12336.11,635.97,1996.5,842940.52,29.6,801297.37,45.44,7.1404,46.9,4.0878,1.8021,78.4894
2011-01-04,2011,1,4,2,104022.72,0.0,145876.05,9832.04,8502.07,965.02,1783.81,871510.6300000001,31.09,833253.26,45.59,8.1106,192.3,2.631,1.8217,83.2128
2011-01-05,2011,1,5,3,200221.69,0.0,158946.13,10526.45,7503.86,888.61,1746.28,838830.6100000001,45.28,803475.57,35.35,10.363,165.4,1.678,2.9617,81.617
2011-01-06,2011,1,6,4,245505.12,0.0,113777.36,10088.73,7973.16,975.86,1903.01,735473.7599999999,51.7,659165.54,21.02,13.1638,290.6,2.295,3.6891,79.4468
2011-01-07,2011,1,7,5,246623.03,0.0,152748.93,10213.05,6040.79,461.93,2115.49,792398.79,52.78,745349.06,16.16,12.5574,147.5,2.239,3.6936,75.0851
2011-01-08,2011,1,8,6,223431.28,0.0,168621.59,9987.63,10013.57,770.88,2137.05,764515.85,54.28,714197.4,21.31,12.0128,192.4,3.2658,3.7696,73.617
2011-01-09,2011,1,9,7,80447.51,0.0,204595.95,10269.67,8183.87,796.96,2080.52,695803.53,44.03,676565.53,41.32,9.8851,90.4,3.0026,2.4174,78.7872
2011-01-10,2011,1,10,1,150019.51,0.0,197918.31,10316.31,12363.13,1442.41,1882.89,883473.26,42.33,825093.67,41.18,8.5489,59.8,4.5302,2.7979,76.7872
2011-01-11,2011,1,11,2,223293.3,0.0,185025.87,10223.86,10850.12,1363.16,2018.79,910104.12,47.55,839408.06,32.65,11.6298,19.2,4.2929,3.7872,77.5319
2011-01-12,2011,1,12,3,142467.61,0.0,202143.83,10431.92,13008.15,1990.08,2038.77,892816.8199999998,41.67,831748.88,36.19,11.583,1.8,4.9605,2.2957,77.8936
2011-01-13,2011,1,13,4,68664.46,0.0,201526.89,10207.9,14824.78,2119.99,2063.51,878228.0300000003,34.09,831676.73,42.47,10.5872,0.5,5.7744,1.6319,79.6596
2011-01-14,2011,1,14,5,63606.71,0.0,206585.31,9936.66,14776.88,1982.74,2174.53,865938.2100000002,34.54,828355.71,43.5,9.9833,1.5,5.6289,1.6174,80.8511
2011-01-15,2011,1,15,6,61480.27,0.0,193344.5,9634.69,14858.93,2082.36,2185.5,740855.4299999999,38.28,740276.29,47.57,9.3,1.0,5.6243,1.7,80.5106
2011-01-16,2011,1,16,7,91327.46,0.0,178296.18,10034.83,13531.56,1638.53,2237.92,690025.37,43.05,690529.49,43.83,8.9938,44.8,4.7128,1.7326,80.4255
2011-01-17,2011,1,17,1,49734.52,0.0,194387.87,9547.53,11938.23,1512.94,2230.47,857501.6599999998,31.41,833383.1,45.6,9.3312,43.7,3.8667,1.587,82.0
2011-01-18,2011,1,18,2,51680.35,0.0,188743.33,9606.51,9375.87,978.73,2187.67,895303.3699999999,29.33,854014.7,46.82,8.9562,37.7,1.8907,1.6891,83.4681
2011-01-19,2011,1,19,3,48808.21,0.0,177209.52,9818.94,9045.9,1599.54,2162.9,899436.49,27.64,852744.07,46.54,9.7042,10.1,2.5744,1.9957,79.8085
